종목코드,회사명
000020,동화약품
000040,KR모터스
000050,경방
000070,삼양홀딩스
000075,삼양홀딩스우
000080,하이트진로
000087,하이트진로2우B
000100,유한양행
000105,유한양행우
000120,CJ대한통운
000140,하이트진로홀딩스
000145,하이트진로홀딩스우
000150,두산
000155,두산우
000157,두산2우B
000180,성창기업지주
000210,DL
000215,DL우
000220,유유제약
000225,유유제약1우
000227,유유제약2우B
000230,일동홀딩스
000240,한국앤컴퍼니
000250,삼천당제약
000270,기아
000300,대유플러스
000320,노루홀딩스
000325,노루홀딩스우
000370,한화손해보험
000390,삼화페인트
000400,롯데손해보험
000430,대원강업
000440,중앙에너비스
000480,CR홀딩스
000490,대동
000500,가온전선
000520,삼일제약
000540,흥국화재
000545,흥국화재우
000590,CS홀딩스
000640,동아쏘시오홀딩스
000650,천일고속
000660,SK하이닉스
000670,영풍
000680,LS네트웍스
000700,유수홀딩스
000720,현대건설
000725,현대건설우
000760,이화산업
000810,삼성화재
000815,삼성화재우
000850,화천기공
000860,강남제비스코
000880,한화
000885,한화우
00088K,한화3우B
000890,보해양조
000910,유니온
000950,전방
000970,한국주철관
000990,DB하이텍
001000,신라섬유
001020,페이퍼코리아
001040,CJ
001045,CJ우
00104K,CJ4우(전환)
001060,JW중외제약
001065,JW중외제약우
001067,JW중외제약2우B
001070,대한방직
001080,만호제강
001120,LX인터내셔널
001130,대한제분
001140,국보
001200,유진투자증권
001210,금호전기
001230,동국홀딩스
001250,GS글로벌
001260,남광토건
001270,부국증권
001275,부국증권우
001290,상상인증권
001340,백광산업
001360,삼성제약
001380,SG글로벌
001390,KG케미칼
001420,태원물산
001430,세아베스틸지주
001440,대한전선
001450,현대해상
001460,BYC
001465,BYC우
001470,삼부토건
001500,현대차증권
001510,SK증권
001515,SK증권우
001520,동양
001525,동양우
001527,동양2우B
001530,DI동일
001540,안국약품
001550,조비
001560,제일연마
001570,금양
001620,케이비아이동국실업
001630,종근당홀딩스
001680,대상
001685,대상우
001720,신영증권
001740,SK네트웍스
001750,한양증권
001755,한양증권우
001770,SHD
001780,알루코
001790,대한제당
001795,대한제당우
